Date,MSFT,GOOGL
2015-06-30,39.34454345703125,540.0399780273438
2015-07-01,39.61189270019531,543.2999877929688
2015-07-02,39.56732177734375,547.3400268554688
2015-07-06,39.55842208862305,545.6199951171875
2015-07-07,39.47822189331055,550.030029296875
2015-07-08,39.424747467041016,541.7000122070312
2015-07-09,39.67427062988281,544.6500244140625
2015-07-10,39.75447082519531,556.1099853515625
2015-07-13,40.583248138427734,571.72998046875
2015-07-14,40.65454864501953,584.1799926757812
2015-07-15,40.779300689697266,583.9600219726562
2015-07-16,41.58134078979492,601.780029296875
2015-07-17,41.54569625854492,699.6199951171875
2015-07-20,41.813045501708984,692.8400268554688
2015-07-21,42.13386154174805,695.3499755859375
2015-07-22,40.583248138427734,695.0999755859375
2015-07-23,41.09120178222656,674.72998046875
2015-07-24,40.9397087097168,654.77001953125
