Sigle,Titre,Credit,url,Prerequisites
ANG 1924,Rédaction académique et professionnelle,2.0,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1924/,Préalables : ANG1904 ou ANG1905 ou ANG1906 ou ANG1907 ou compétences équivalentes (Test de classement – site du Centre de langues)
ANG 1925,Anglais écrit pour lettres et sciences sociales,1.0,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1925/,Préalable : ANG1924 ou compétences équivalentes (Test de classement – site du Centre de langues)
ANG 1933,Expression orale académique et professionnelle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1933/,Préalable : ANG1904 ou compétences équivalentes (Test de classement – site du Centre de langues)
ARA 1901,Arabe 1 (niveau A1.1),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ara-1901/,Aucune connaissance de la langue arabe.
ARA 1902,Arabe 2 (niveau A1.2),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ara-1902/,
ARA 1903,Arabe 3 (niveau A2.1),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ara-1903/,ARA1902 ou ARA1912
ARA 1904,Arabe 4 (niveau A2.2),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ara-1904/,
ARA 1912,Arabe A1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ara-1912/,
CHN 1905,Chinois 5 (niveau A2.1),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1905/,
CHN 1906,Chinois 6 (niveau A2.2),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1906/,CHN1905 ou compétence équivalente.
CHN 1907,Chinois 7 (niveau A2.3),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1907/,
CHN 1908,Chinois 8 (niveau A2+),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1908/,CHN1907 ou compétence équivalente.
CHN 1911,Chinois 11 (niveau B1.3),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1911/,CHN1910 ou CHN3060 ou compétence équivalente.
CHN 1912,Lire en chinois 1 (niveau B2.1),3.0,https://admission.umontreal.ca/cours-et-horaires/cours/chn-1912/,CHN1911 ou CHN3070 ou compétence équivalente.
