Sigle,Titre,Credit,url,Prerequisites
BCM 3525,Génétique des organismes modèles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-3525/,BCM2502
BIO 3203,Génétique évolutive,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-3203/,BIO1203 OU BCM2502
BIO 3204,Génétique des populations,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bio-3204/,ANT1513 OU BCM1503 OU BIO1203
PHL 3600,Pharmacogénétique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phl-3600/,
BCM 2503,Métabolisme moléculaire,2.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2503/,BCM1502
BCM 2505,Enzymologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2505/,"BCM1501 OU BCM1531; Pour les étudiants du programme de bio-informatique, il est suggéré de suivre aussi préalablement le cours BCM 1502.; Équivalents: BCM2505/BCM2504"
BCM 2532,Pratique de la communication en sciences,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2532/,BCM2502
BCM 2562,Biochimie clinique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-2562/,
BCM 3512,Biochimie de la cellule,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-3512/,(BCM1501 et BCM2502) ou ((BCM1531 ou BCM1531A) et (BIO1203 ou BIO1204))
BCM 3514,Régulation de l'expression génique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-3514/,BCM3512; Équivalents: BCM3514/BCM3571
PBC 3060,Bases moléculaires des maladies humaines,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pbc-3060/,
PHL 2100,Principes de pharmacologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/phl-2100/,
IFT 3065,Langages de programmation et compilation,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3065/,IFT2035; Équivalents: IFT3065/IFT3060
IFT 3225,Technologie de l'Internet,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3225/,IFT1005 et IFT2015; Équivalents: IFT3225/IFT3220
IFT 3911,Analyse et conception des logiciels,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3911/,IFT2255; Équivalents: IFT3911/IFT3901
IFT 3913,Qualité du logiciel et métriques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3913/,IFT2255; Équivalents: IFT3913/IFT3903
IFT 2505,Optimisation linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2505/,MAT1600
IFT 3375,Informatique théorique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3375/,IFT2105 et 27 crédits de sigle IFT; Équivalents: IFT3375/IFT3370
IFT 3515,Optimisation non linéaire,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3515/,MAT1600
IFT 3545,Graphes et réseaux,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3545/,
IFT 3205,Traitement du signal,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3205/,MAT1400 ET MAT1600; Équivalents: IFT3205/IFT3200
IFT 3245,Simulation et modèles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,IFT2015 ET (MAT1978 OU MAT1720 OU PHY2215); Équivalents: IFT3245/IFT3240
IFT 3335,Intelligence artificielle : introduction,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3335/,30 crédits de sigle IFT; Équivalents: IFT3335/IFT3330
IFT 3395,Fondements de l'apprentissage machine,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3395/,Préalables : IFT2125 et MAT1600 et (MAT1978 ou (MAT1720 et STT1700)); Équivalents: IFT3395/IFT3390
IFT 3655,Modèles stochastiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3655/,IFT2015 ET (MAT1978 OU MAT1720); Équivalents: IFT3655/IFT3651
IFT 3700,Introduction à la science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,IFT2015 ET (MAT1978 OU MAT1720 OU STT1700)
MAT 1720,Probabilités,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1720/,
MAT 2717,Processus stochastiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2717/,Préalables : MAT1600 et (MAT1720 ou MAT1978)
STT 2000,Échantillonnage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2000/,
STT 2700,Concepts et méthodes en statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,Préalables : (MAT1720 ou MAT1978) et STT1700
STT 3510,Biostatistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3510/,STT2700
