Sigle,Titre,Credit,url,Prerequisites
STT 2105,Statistique bayésienne,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2105/,Préalable : STT2700 ; Concomitant : MAT2717
STT 2305,Analyse multivariée appliquée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2305/,
STT 3220,Méthodes de prévision,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3220/,Préalables : STT2400 et STT2700
STT 3260,Modèles de survie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3260/,Préalables : STT2400 et STT2700
STT 3410,Plans et analyses d'expériences,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3410/,Préalables : STT2400 et STT2700
STT 3510,Biostatistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3510/,STT2700
STT 3781,Laboratoire de statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3781/,STT3410
STT 3790,Apprentissage statistique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3790/,Préalables : STT2400 et STT2700
STT 3795,Fondements théoriques en science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/stt-3795/,MAT1400/MAT1600/MAT1720 ou MAT1978
MAT 1410,Calcul 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1410/,MAT1400
MAT 2050,Analyse 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2050/,MAT1000
MAT 2100,Analyse 3,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2100/,Préalable : MAT1000
MAT 2115,Équations différentielles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2115/,MAT1400 ET MAT1600
MAT 2130,Variable complexe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2130/,Préalable : MAT1000
MAT 2412,Analyse numérique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2412/,MAT1400 ET MAT1600
MAT 2719,Marches et graphes aléatoires,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2719/,Préalables : MAT1000 et (MAT1720 ou MAT1978).
MAT 2795,Introduction aux structures intrinsèques des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2795/,Préalables : MAT1400 et MAT1600.
MAT 6117,Mesure et intégration,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-6117/,
MAT 6701,Probabilités,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-6701/,
MAT 2000,Stage 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2000/,
MAT 3000,Stage 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3000/,
DMO 1000,Introduction à la démographie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/dmo-1000/,
ECN 1000,Principes d'économie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1000/,
ECN 1040,Introduction à la microéconomie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1040/,ECN1000
ECN 1050,Introduction à la macroéconomie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1050/,
ECN 2165,Comptabilité 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-2165/,
IFT 1025,Programmation 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1025/,IFT1015 ou IFT1016
IFT 2015,Structures de données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2015/,IFT1025 et IFT1065
IFT 3245,Simulation et modèles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,IFT2015 ET (MAT1978 OU MAT1720 OU PHY2215); Équivalents: IFT3245/IFT3240
IFT 3700,Introduction à la science des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,IFT2015 ET (MAT1978 OU MAT1720 OU STT1700)
MAT 1460,Modélisation,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1460/,
MAT 2050,Analyse 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2050/,MAT1000
MAT 2100,Analyse 3,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2100/,Préalable : MAT1000
MAT 2115,Équations différentielles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2115/,MAT1400 ET MAT1600
MAT 2130,Variable complexe,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2130/,Préalable : MAT1000
MAT 2300,Géométrie différentielle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2300/,Préalables : MAT1000 et MAT1400 et MAT1600
MAT 2412,Analyse numérique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2412/,MAT1400 ET MAT1600
MAT 2600,Algèbre 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2600/,MAT1600
IFT 1015,Programmation 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,
MAT 1681,Mathématiques assistées par ordinateur,1.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1681/,
MAT 1410,Calcul 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1410/,MAT1400
MAT 2450,Mathématiques et technologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2450/,MAT1400 et MAT1600; Concomitants: MAT2450 et MAT1720 ou MAT1978
MAT 2460,Dynamiques adaptatives,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2460/,
MAT 2466,Analyse appliquée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2466/,Préalables : MAT1000 et MAT1400 et MAT1600
MAT 2531,Histoire des mathématiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2531/,
MAT 2611,Algèbre 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2611/,MAT2600
MAT 2719,Marches et graphes aléatoires,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2719/,Préalables : MAT1000 et (MAT1720 ou MAT1978).
MAT 2795,Introduction aux structures intrinsèques des données,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2795/,Préalables : MAT1400 et MAT1600.
MAT 3162,Équations aux dérivées partielles,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3162/,MAT1000 et MAT2115
MAT 3300,Introduction aux variétés différentiables,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3300/,Préalable : MAT2100.
MAT 3363,Topologie,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3363/,Préalable : MAT1000
MAT 3450,Introduction à la modélisation mathématique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3450/,MAT1400 ET MAT1600
MAT 3460,Modélisation mathématique spécialisée et appli.,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3460/,
MAT 3632,Théorie des nombres,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3632/,Préalables : MAT1500 ou MAT2600
MAT 3634,Théorie analytique des nombres,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3634/,Préalable : MAT3632.
MAT 3661,Théorie de Galois,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3661/,MAT2600
MAT 2000,Stage 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2000/,
MAT 3000,Stage 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-3000/,
MAT 4000,Mémoire de fin d'études,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-4000/,
MAT 6117,Mesure et intégration,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-6117/,
MAT 6124,Analyse fonctionnelle,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-6124/,
MAT 6701,Probabilités,4.0,https://admission.umontreal.ca/cours-et-horaires/cours/mat-6701/,
ACT 1240,Mathématiques financières,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-1240/,
ACT 2241,Produits dérivés et gestion de risque,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2241/,ACT1240
ACT 2242,Finance corporative,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2242/,ACT1240
ACT 2243,Investissements,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2243/,ACT1240
ACT 2250,Mathématiques de l'assurance-vie 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2250/,ACT1240 ET MAT1720
ACT 2251,Mathématiques de l'assurance-vie 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2251/,Préalable : ACT2250
ACT 2284,Mathématiques de l'assurance IARD,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-2284/,Préalables : ACT3251 et STT2700
ACT 3230,Finance mathématique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3230/,Préalables : ACT2241 et MAT2717
ACT 3251,Théorie du risque,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/act-3251/,Préalable : MAT1720
