Sigle,Titre,Credit,url,Prerequisites
POL 3906,La coopération internationale,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3906/,
POL 3908,Politique comparée : enjeu actuel,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3908/,
POL 3909,Relations internationales : enjeu actuel,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3909/,
POL 3910,Genre et politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3910/,
POL 3913,Politiques publiques : enjeu actuel,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3913/,
POL 3917,Interventions humanitaires : théories et pratiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3917/,
POL 3920,"Médias, conflits et paix",3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3920/,
POL 3930,Gouvernance de l’intelligence artificielle,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3930/,
ALL 1012,Allemand parlé 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/all-1012/,ALL1902 ou compétence équivalente; Concomitants: ALL1012 et ALL1903 et ALL1904
ALL 1090,Grammaire avancée 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/all-1090/,ALL1904 ou compétence équivalente
ALL 1110,Allemand écrit,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/all-1110/,ALL1906 ou compétence équivalente
ALL 2010,Grammaire avancée 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/all-2010/,ALL1090 ou compétence équivalente
ANG 1052,English Grammar 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1052/,Test d'aptitudes obligatoire.
ANG 1053,English Grammar 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1053/,ANG1052 ou test d'aptitudes obligatoire.
ESP 2510,Pratique orale de l'espagnol,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/esp-2510/,ESP1906
ESP 2525,Composition espagnole 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/esp-2525/,ESP1906
ESP 2535,Composition espagnole 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/esp-2535/,ESP2525 OU ESP2531
ESP 2536,Grammaire avancée,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/esp-2536/,ESP2510 OU ESP2525 OU ESP2531
FAS 1900,Langue de l'Université d'accueil,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/fas-1900/,
GRC 1111,Initiation à la langue grecque 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/grc-1111/,
GRC 1121,Initiation à la langue grecque 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/grc-1121/,GRC1111
ITL 1070,Grammaire avancée 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/itl-1070/,ITL1904 OU ITL1953 ou compétence équivalente
ITL 2030,Stylistique et composition italiennes,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/itl-2030/,ITL1904 OU ITL1953 ou compétence équivalente
ITL 2040,Italien parlé,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/itl-2040/,ITL1903 OU ITL1952 ou compétence équivalente
ITL 2070,Grammaire avancée 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/itl-2070/,ITL1070 ou compétence équivalente
ITL 3002,Version,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/itl-3002/,ITL1070 OU ITL2030 ou compétence équivalente
PTG 1954,Portugais idiomatique et composition,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ptg-1954/,PTG1904
PTG 1955,Portugais : communication orale et écrite,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/ptg-1955/,PTG1904
POL 3240,Stage,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3240/,
POL 3241,Stage,6.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3241/,
POL 3904,Travaux pratiques,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3904/,
POL 3919,Analyse appliquée du risque politique,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-3919/,
POL 4001,Séminaire d'initiation à la recherche 1,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-4001/,
POL 4002,Séminaire d'initiation à la recherche 2,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-4002/,POL4001
POL 6960,Séminaire aux études supérieures,3.0,https://admission.umontreal.ca/cours-et-horaires/cours/pol-6960/,
